exchange_id,name,unit,value,type,date
83,Chilean Peso,CLP$,14912539.186,fiat,2022-12-06 20:54:31.103498
84,Chinese Yuan,¥,118730.083,fiat,2022-12-06 20:54:31.610552
85,Czech Koruna,Kč,394107.183,fiat,2022-12-06 20:54:32.830018
86,Danish Krone,kr.,120577.171,fiat,2022-12-06 20:54:33.651017
87,Euro,€,16212.528,fiat,2022-12-06 20:54:34.673864
88,British Pound Sterling,£,13980.942,fiat,2022-12-06 20:54:35.423544
89,Hong Kong Dollar,HK$,131910.717,fiat,2022-12-06 20:54:36.413928
90,Hungarian Forint,Ft,6672422.527,fiat,2022-12-06 20:54:37.231146
91,Indonesian Rupiah,Rp,265166398.261,fiat,2022-12-06 20:54:37.950186
92,Israeli New Shekel,₪,58070.143,fiat,2022-12-06 20:54:38.297786
93,Indian Rupee,₹,1398543.085,fiat,2022-12-06 20:54:38.744052
94,Japanese Yen,¥,2324084.243,fiat,2022-12-06 20:54:39.039364
95,South Korean Won,₩,22424406.008,fiat,2022-12-06 20:54:39.148914
96,Kuwaiti Dinar,KD,5211.904,fiat,2022-12-06 20:54:39.371107
97,Sri Lankan Rupee,Rs,6237490.473,fiat,2022-12-06 20:54:39.708102
98,Burmese Kyat,K,35642686.78,fiat,2022-12-06 20:54:40.128354
99,Mexican Peso,MX$,335337.761,fiat,2022-12-06 20:54:41.044465
100,Malaysian Ringgit,RM,74588.152,fiat,2022-12-06 20:54:41.210714
101,Nigerian Naira,₦,7548932.008,fiat,2022-12-06 20:54:41.316484
102,Norwegian Krone,kr,170207.805,fiat,2022-12-06 20:54:41.435511
103,New Zealand Dollar,NZ$,26858.879,fiat,2022-12-06 20:54:41.557278
104,Philippine Peso,₱,947829.62,fiat,2022-12-06 20:54:41.660333
105,Pakistani Rupee,₨,3803232.083,fiat,2022-12-06 20:54:41.762540
106,Polish Zloty,zł,76025.811,fiat,2022-12-06 20:54:41.865221
107,Russian Ruble,₽,1075970.182,fiat,2022-12-06 20:54:41.968305
108,Saudi Riyal,SR,63801.721,fiat,2022-12-06 20:54:42.095602
109,Swedish Krona,kr,176744.595,fiat,2022-12-06 20:54:42.198386
110,Singapore Dollar,S$,23059.483,fiat,2022-12-06 20:54:42.301555
111,Thai Baht,฿,595202.036,fiat,2022-12-06 20:54:42.404113
112,Turkish Lira,₺,316209.642,fiat,2022-12-06 20:54:42.506006
113,New Taiwan Dollar,NT$,519545.958,fiat,2022-12-06 20:54:42.607657
114,Ukrainian hryvnia,₴,626822.898,fiat,2022-12-06 20:54:42.711322
115,Venezuelan bolívar fuerte,Bs.F,1699.32,fiat,2022-12-06 20:54:42.815600
116,Vietnamese đồng,₫,407307318.181,fiat,2022-12-06 20:54:42.923793
117,South African Rand,R,294115.765,fiat,2022-12-06 20:54:43.027561
118,IMF Special Drawing Rights,XDR,12759.258,fiat,2022-12-06 20:54:43.131659
119,Silver - Troy Ounce,XAG,764.615,commodity,2022-12-06 20:54:43.971737
120,Gold - Troy Ounce,XAU,9.583,commodity,2022-12-06 20:54:44.797259
121,Bits,μBTC,1000000.0,crypto,2022-12-06 20:54:45.292242
122,Satoshi,sats,100000000.0,crypto,2022-12-06 20:54:45.945040
123,Bitcoin,BTC,1.0,crypto,2022-12-06 21:32:46.087821
124,Ether,ETH,13.553,crypto,2022-12-06 21:32:46.187738
125,Litecoin,LTC,216.447,crypto,2022-12-06 21:32:46.289157
126,Bitcoin Cash,BCH,153.563,crypto,2022-12-06 21:32:46.388847
127,Binance Coin,BNB,58.816,crypto,2022-12-06 21:32:46.487845
128,EOS,EOS,17789.161,crypto,2022-12-06 21:32:46.587104
129,XRP,XRP,43488.215,crypto,2022-12-06 21:32:46.687017
130,Lumens,XLM,197330.231,crypto,2022-12-06 21:32:46.785471
131,Chainlink,LINK,2396.843,crypto,2022-12-06 21:32:46.884565
132,Polkadot,DOT,3107.588,crypto,2022-12-06 21:32:46.986444
133,Yearn.finance,YFI,2.375,crypto,2022-12-06 21:32:47.083696
134,US Dollar,$,16989.425,fiat,2022-12-06 21:32:47.181120
135,United Arab Emirates Dirham,DH,62401.31,fiat,2022-12-06 21:32:47.285973
136,Argentine Peso,$,2879430.684,fiat,2022-12-06 21:32:47.386636
137,Australian Dollar,A$,25412.731,fiat,2022-12-06 21:32:47.486241
138,Bangladeshi Taka,৳,1754325.403,fiat,2022-12-06 21:32:47.585076
139,Bahraini Dinar,BD,6404.979,fiat,2022-12-06 21:32:47.683506
140,Bermudian Dollar,$,16989.425,fiat,2022-12-06 21:32:47.781259
141,Brazil Real,R$,88953.233,fiat,2022-12-06 21:32:47.880970
142,Canadian Dollar,CA$,23201.608,fiat,2022-12-06 21:32:47.979036
143,Swiss Franc,Fr.,16003.461,fiat,2022-12-06 21:32:48.083784
144,Chilean Peso,CLP$,14928608.133,fiat,2022-12-06 21:32:48.182766
145,Chinese Yuan,¥,118858.02,fiat,2022-12-06 21:32:48.281816
146,Czech Koruna,Kč,394593.422,fiat,2022-12-06 21:32:48.381875
147,Danish Krone,kr.,120724.512,fiat,2022-12-06 21:32:48.479778
148,Euro,€,16232.189,fiat,2022-12-06 21:32:48.579314
149,British Pound Sterling,£,14006.693,fiat,2022-12-06 21:32:48.676580
150,Hong Kong Dollar,HK$,132097.471,fiat,2022-12-06 21:32:48.774990
151,Hungarian Forint,Ft,6676416.506,fiat,2022-12-06 21:32:48.871785
152,Indonesian Rupiah,Rp,265462320.911,fiat,2022-12-06 21:32:48.969308
153,Israeli New Shekel,₪,58132.717,fiat,2022-12-06 21:32:49.066074
154,Indian Rupee,₹,1399547.226,fiat,2022-12-06 21:32:49.164916
155,Japanese Yen,¥,2328398.439,fiat,2022-12-06 21:32:49.261727
156,South Korean Won,₩,22434523.789,fiat,2022-12-06 21:32:49.359568
157,Kuwaiti Dinar,KD,5217.52,fiat,2022-12-06 21:32:49.464974
158,Sri Lankan Rupee,Rs,6244211.656,fiat,2022-12-06 21:32:49.563986
159,Burmese Kyat,K,35681093.415,fiat,2022-12-06 21:32:49.661691
160,Mexican Peso,MX$,335782.402,fiat,2022-12-06 21:32:49.759196
161,Malaysian Ringgit,RM,74668.524,fiat,2022-12-06 21:32:49.856552
162,Nigerian Naira,₦,7557066.329,fiat,2022-12-06 21:32:49.955457
163,Norwegian Krone,kr,170358.405,fiat,2022-12-06 21:32:50.063197
164,New Zealand Dollar,NZ$,26895.415,fiat,2022-12-06 21:32:50.163930
165,Philippine Peso,₱,948358.188,fiat,2022-12-06 21:32:50.265517
166,Pakistani Rupee,₨,3807330.241,fiat,2022-12-06 21:32:50.364607
167,Polish Zloty,zł,76129.921,fiat,2022-12-06 21:32:50.462244
168,Russian Ruble,₽,1077129.589,fiat,2022-12-06 21:32:50.562122
169,Saudi Riyal,SR,63866.376,fiat,2022-12-06 21:32:50.662594
170,Swedish Krona,kr,177075.735,fiat,2022-12-06 21:32:50.762638
171,Singapore Dollar,S$,23086.709,fiat,2022-12-06 21:32:50.860375
172,Thai Baht,฿,596613.405,fiat,2022-12-06 21:32:50.961888
173,Turkish Lira,₺,316575.432,fiat,2022-12-06 21:32:51.061337
174,New Taiwan Dollar,NT$,520088.786,fiat,2022-12-06 21:32:51.160155
175,Ukrainian hryvnia,₴,627498.329,fiat,2022-12-06 21:32:51.261003
176,Venezuelan bolívar fuerte,Bs.F,1701.151,fiat,2022-12-06 21:32:51.363080
177,Vietnamese đồng,₫,407746210.556,fiat,2022-12-06 21:32:51.467966
178,South African Rand,R,294679.851,fiat,2022-12-06 21:32:51.568387
179,IMF Special Drawing Rights,XDR,12773.006,fiat,2022-12-06 21:32:51.666749
180,Silver - Troy Ounce,XAG,765.529,commodity,2022-12-06 21:32:51.776072
181,Gold - Troy Ounce,XAU,9.59,commodity,2022-12-06 21:32:51.875739
182,Bits,μBTC,1000000.0,crypto,2022-12-06 21:32:51.975559
183,Satoshi,sats,100000000.0,crypto,2022-12-06 21:32:52.082199
184,Bitcoin,BTC,1.0,crypto,2022-12-06 22:08:27.324322
185,Ether,ETH,13.532,crypto,2022-12-06 22:08:28.243886
186,Litecoin,LTC,215.731,crypto,2022-12-06 22:08:29.344379
187,Bitcoin Cash,BCH,153.571,crypto,2022-12-06 22:08:30.163988
188,Binance Coin,BNB,58.829,crypto,2022-12-06 22:08:30.574000
189,EOS,EOS,17761.717,crypto,2022-12-06 22:08:31.299815
190,XRP,XRP,43532.64,crypto,2022-12-06 22:08:32.084217
191,Lumens,XLM,197285.641,crypto,2022-12-06 22:08:33.236710
192,Chainlink,LINK,2401.151,crypto,2022-12-06 22:08:34.096683
193,Polkadot,DOT,3108.284,crypto,2022-12-06 22:08:34.821448
194,Yearn.finance,YFI,2.378,crypto,2022-12-06 22:08:35.589330
195,US Dollar,$,16991.652,fiat,2022-12-06 22:08:36.206396
196,United Arab Emirates Dirham,DH,62410.357,fiat,2022-12-06 22:08:36.820922
197,Argentine Peso,$,2879954.312,fiat,2022-12-06 22:08:37.474753
198,Australian Dollar,A$,25412.274,fiat,2022-12-06 22:08:38.254192
199,Bangladeshi Taka,৳,1754555.399,fiat,2022-12-06 22:08:39.277639
200,Bahraini Dinar,BD,6405.819,fiat,2022-12-06 22:08:39.790098
201,Bermudian Dollar,$,16991.652,fiat,2022-12-06 22:08:40.544558
202,Brazil Real,R$,88956.399,fiat,2022-12-06 22:08:40.956584
203,Canadian Dollar,CA$,23199.553,fiat,2022-12-06 22:08:41.556103
204,Swiss Franc,Fr.,16001.498,fiat,2022-12-06 22:08:41.937815
205,Chilean Peso,CLP$,14924740.449,fiat,2022-12-06 22:08:42.859484
206,Chinese Yuan,¥,118873.602,fiat,2022-12-06 22:08:43.473925
207,Czech Koruna,Kč,394938.6,fiat,2022-12-06 22:08:44.295162
208,Danish Krone,kr.,120734.188,fiat,2022-12-06 22:08:45.113178
209,Euro,€,16231.514,fiat,2022-12-06 22:08:45.525648
210,British Pound Sterling,£,14003.857,fiat,2022-12-06 22:08:45.863536
211,Hong Kong Dollar,HK$,132099.055,fiat,2022-12-06 22:08:46.137515
212,Hungarian Forint,Ft,6667165.997,fiat,2022-12-06 22:08:46.449090
213,Indonesian Rupiah,Rp,265494150.068,fiat,2022-12-06 22:08:46.766739
214,Israeli New Shekel,₪,58143.906,fiat,2022-12-06 22:08:47.278295
215,Indian Rupee,₹,1399660.976,fiat,2022-12-06 22:08:47.782882
216,Japanese Yen,¥,2326904.899,fiat,2022-12-06 22:08:48.161825
