exchange_id,name,unit,value,type,date
357,New Taiwan Dollar,NT$,525948.637,fiat,2022-12-09 22:29:26.042021
358,Ukrainian hryvnia,₴,629231.317,fiat,2022-12-09 22:29:26.136960
359,Venezuelan bolívar fuerte,Bs.F,1714.979,fiat,2022-12-09 22:29:26.228727
360,Vietnamese đồng,₫,407635114.583,fiat,2022-12-09 22:29:26.315710
361,South African Rand,R,297237.934,fiat,2022-12-09 22:29:26.402625
362,IMF Special Drawing Rights,XDR,12921.382,fiat,2022-12-09 22:29:26.489943
363,Silver - Troy Ounce,XAG,729.452,commodity,2022-12-09 22:29:26.584298
364,Gold - Troy Ounce,XAU,9.529,commodity,2022-12-09 22:29:26.671096
365,Bits,μBTC,1000000.0,crypto,2022-12-09 22:29:26.759713
366,Satoshi,sats,100000000.0,crypto,2022-12-09 22:29:26.847380
